time,latitude,longitude,depth,mag,Year
2023-02-08T14:42:21.367Z,38.0953,36.6525,11.674,4.4,2023
2023-02-08T14:20:24.819Z,38.0015,37.4307,4.515,5.1,2023
2023-02-08T12:11:56.031Z,38.8457,37.2766,10,4.1,2023
2023-02-08T11:37:21.861Z,38.0802,36.8835,10,4,2023
2023-02-08T11:24:00.758Z,37.9367,37.6179,3.53,4.5,2023
2023-02-08T11:11:52.872Z,37.9368,37.6607,8.988,5.4,2023
2023-02-08T11:00:19.726Z,38.0268,37.7704,10,4.1,2023
2023-02-08T10:26:23.750Z,37.1554,37.0022,6.602,4.4,2023
2023-02-08T09:52:11.967Z,38.0337,36.5009,10,4.4,2023
2023-02-08T09:13:07.114Z,36.6565,36.5077,10,4.3,2023
2023-02-08T08:45:36.004Z,37.9169,37.7689,9.976,4.1,2023
2023-02-08T07:48:31.978Z,38.0061,36.4959,10,5,2023
2023-02-08T07:23:45.800Z,36.3259,36.2434,10,4.1,2023
2023-02-08T06:09:00.273Z,36.2022,36.1959,10,4.5,2023
2023-02-08T06:08:34.681Z,37.9558,38.313,10,4.4,2023
2023-02-08T05:52:37.157Z,38.0593,36.7087,10,4.2,2023
2023-02-08T03:01:02.184Z,37.1511,36.671,10,4.3,2023
2023-02-08T02:55:57.054Z,37.1601,36.6433,10,4.1,2023
2023-02-08T02:25:12.724Z,37.8759,38.1193,10,4.3,2023
2023-02-08T00:11:55.118Z,38.0835,37.1939,14.197,4.1,2023
2023-02-07T23:13:02.009Z,36.0927,35.8637,10,4.5,2023
2023-02-07T22:45:27.921Z,38.0992,36.5507,6.069,4.2,2023
2023-02-07T22:07:54.879Z,38.0663,36.5541,12.635,4.2,2023
2023-02-07T21:58:54.224Z,37.4201,36.9564,12.635,4.1,2023
2023-02-07T21:21:25.795Z,37.924,37.5023,3.744,5,2023
2023-02-07T19:54:23.826Z,38.5889,39.9722,10,4.6,2023
2023-02-07T19:13:49.530Z,38.021,36.9185,13,4.4,2023
2023-02-07T18:14:08.571Z,37.8659,38.2929,26.793,4.4,2023
2023-02-07T18:10:00.223Z,37.969,36.6038,19.248,5.3,2023
2023-02-07T17:53:50.882Z,38.0002,36.4438,8.524,4.2,2023
2023-02-07T17:38:00.327Z,37.8896,37.6276,16.287,4.2,2023
2023-02-07T16:54:31.685Z,37.9421,37.323,17.033,4.1,2023
2023-02-07T16:53:27.462Z,36.0086,35.9967,10,4.2,2023
2023-02-07T15:48:54.123Z,37.9939,36.4771,11.132,5,2023
2023-02-07T15:31:28.295Z,37.3758,37.1447,10,4.7,2023
2023-02-07T14:23:17.029Z,38.0426,36.5803,10,4.4,2023
2023-02-07T13:36:41.353Z,36.0984,35.8449,10,4.5,2023
2023-02-07T12:07:03.774Z,38.2171,38.263,15.409,4.5,2023
2023-02-07T11:01:11.695Z,37.9808,37.6619,3.759,4.4,2023
2023-02-07T10:57:45.797Z,37.8911,36.6653,10,4.6,2023
2023-02-07T10:56:29.905Z,37.8696,36.6642,8.656,4.5,2023
2023-02-07T10:37:17.535Z,36.0958,35.9441,10,4.6,2023
2023-02-07T10:27:32.024Z,38.3061,38.1915,16.052,4.6,2023
2023-02-07T10:18:14.589Z,38.0164,38.57,12.988,5.3,2023
2023-02-07T10:07:18.238Z,37.5226,37.1468,10.944,4.2,2023
2023-02-07T09:53:31.468Z,38.1471,36.3693,20.355,4.2,2023
2023-02-07T08:25:46.609Z,37.8817,37.5278,10,4.5,2023
2023-02-07T08:18:11.763Z,38.1372,38.537,15.974,4.3,2023
2023-02-07T07:54:23.648Z,36.5768,36.4539,10,4.3,2023
2023-02-07T07:45:06.565Z,36.8855,36.6006,10,4.2,2023
2023-02-07T07:26:36.313Z,38.0311,37.5813,16.18,4.4,2023
2023-02-07T07:11:15.008Z,38.0971,38.6398,9.063,5.4,2023
2023-02-07T06:48:51.696Z,38.3125,37.5785,5.826,4.6,2023
2023-02-07T06:40:53.712Z,38.0324,36.4486,5.95,4.6,2023
2023-02-07T06:26:11.987Z,37.3357,36.8762,7.505,4.2,2023
2023-02-07T06:15:23.256Z,38.0668,38.1413,17.718,4.1,2023
2023-02-07T05:26:30.941Z,36.1531,36.3488,13.661,4.4,2023
2023-02-07T04:42:03.194Z,36.8131,36.6306,10,4.4,2023
2023-02-07T04:16:42.272Z,37.9036,37.4321,10,3.9,2023
2023-02-07T04:07:57.801Z,37.7181,37.4217,10,4.1,2023
2023-02-07T03:58:56.236Z,37.507,37.227,10,4.2,2023
2023-02-07T03:37:00.403Z,36.2786,36.2446,10,4.3,2023
2023-02-07T03:30:01.492Z,37.748,37.6323,10,4.3,2023
2023-02-07T03:16:16.365Z,37.6089,37.3755,10,4.6,2023
2023-02-07T03:13:12.754Z,37.7639,37.7309,10,5.5,2023
2023-02-07T03:08:57.332Z,37.9361,37.6227,10,4.7,2023
2023-02-07T03:02:54.008Z,37.3373,37.1197,10,4.3,2023
2023-02-07T02:53:29.007Z,38.0387,36.5733,10,4.4,2023
2023-02-07T02:47:37.075Z,35.9675,35.9852,10,4.8,2023
2023-02-07T02:43:27.973Z,38.1044,36.9078,10,4.4,2023
2023-02-07T02:39:03.939Z,38.6041,37.5154,15.268,4.2,2023
2023-02-07T02:28:20.753Z,38.0265,37.5093,10,4.1,2023
2023-02-07T01:34:29.191Z,37.4326,37.0521,10,4.4,2023
2023-02-07T01:32:00.826Z,38.0152,36.5543,10,4.4,2023
2023-02-07T01:29:18.918Z,38.0903,36.7693,10,4.2,2023
2023-02-07T01:18:07.375Z,38.0195,36.4624,10,4.3,2023
2023-02-07T00:20:16.237Z,37.8431,36.6148,10,4.2,2023
2023-02-06T23:29:14.993Z,35.6037,35.3598,10.855,4.5,2023
2023-02-06T23:13:30.078Z,37.9823,37.4015,10,4.2,2023
2023-02-06T22:55:27.276Z,37.9341,36.6247,11.221,4,2023
2023-02-06T22:44:54.848Z,38.0613,36.5637,13.174,4.2,2023
2023-02-06T22:29:39.276Z,38.0444,36.4089,6.339,4.5,2023
2023-02-06T22:26:19.224Z,37.9513,37.4226,16.606,4.3,2023
2023-02-06T22:11:36.589Z,38.1849,38.1676,11.762,4.4,2023
2023-02-06T22:09:51.889Z,38.0814,36.8993,10.236,4.1,2023
2023-02-06T21:57:43.548Z,38.0327,36.5874,9.959,5,2023
2023-02-06T21:15:18.245Z,38.072,37.034,10.235,4.9,2023
2023-02-06T21:02:06.978Z,36.7444,36.4904,19.625,4.5,2023
2023-02-06T20:54:01.125Z,37.9263,36.4655,10,4.4,2023
2023-02-06T20:53:24.385Z,38.2114,38.2502,10,5,2023
2023-02-06T20:45:42.200Z,36.1512,36.1819,10,4.3,2023
2023-02-06T20:44:00.230Z,38.0062,36.5773,10,5,2023
2023-02-06T20:40:06.434Z,38.2636,37.9916,10,4.9,2023
2023-02-06T20:37:51.917Z,37.2588,37.1017,10,5.3,2023
2023-02-06T20:23:12.622Z,38.0875,38.6818,10,4.2,2023
2023-02-06T20:14:11.184Z,37.9649,36.479,6.59,4.3,2023
2023-02-06T20:11:49.233Z,37.8934,37.6383,14.754,4.3,2023
2023-02-06T20:05:35.061Z,38.035,36.3119,10,4.7,2023
2023-02-06T19:49:40.207Z,38.0959,36.6474,10,4.3,2023
2023-02-06T19:40:17.531Z,38.0527,38.1879,14.987,4.6,2023
2023-02-06T19:35:50.682Z,37.4754,37.1707,10,4.4,2023
2023-02-06T19:30:59.475Z,38.0086,37.2784,10,4.4,2023
2023-02-06T19:25:01.538Z,37.8505,36.6645,10,4.5,2023
2023-02-06T19:15:47.865Z,37.989,36.3922,10,4.4,2023
2023-02-06T19:12:31.181Z,38.0322,37.3231,10,4.1,2023
2023-02-06T18:55:52.597Z,37.9398,38.1889,10,4.2,2023
2023-02-06T18:51:18.887Z,36.9819,36.8786,10,4.3,2023
2023-02-06T18:49:54.341Z,36.9291,36.7256,10,4.1,2023
2023-02-06T18:48:48.804Z,38.1812,38.1587,10,4.2,2023
2023-02-06T18:03:53.807Z,37.9781,36.4456,10,5.2,2023
2023-02-06T18:02:44.660Z,38.1022,36.5286,10,4.4,2023
2023-02-06T17:46:49.824Z,38.0881,37.8449,10,4.5,2023
2023-02-06T17:31:34.258Z,37.0866,36.7384,10,4.5,2023
2023-02-06T17:26:24.489Z,38.0994,36.6984,10,4.7,2023
2023-02-06T17:22:02.040Z,38.1262,36.5145,10,4.1,2023
2023-02-06T17:11:47.915Z,37.9598,37.3381,10,4.3,2023
2023-02-06T16:55:35.783Z,38.0112,37.4148,9.152,4.5,2023
2023-02-06T16:43:28.541Z,38.0007,36.5078,10,5,2023
