latitude,longitude,depth,mag,Timestamp,Year
37.2241,36.9749,10,5.7,1675646810,2023
37.2251,37.0209,10,7.8,1675646254,2023
37.2003,36.4998,10,4.2,1675422309,2023
35.7692,35.7431,10,4.3,1675008758,2023
36.9911,36.1694,10,4.1,1674048647,2023
38.4311,39.156,10,4.7,1673753788,2023
35.5003,36.6702,10,4.4,1673556048,2023
37.098,37.1039,22.6,4.1,1671816211,2022
36.392,36.4912,10,4.6,1671387189,2022
37.4183,37.142,10,4.1,1666286043,2022
37.3677,37.2943,10,4.3,1666265699,2022
38.3093,39.0573,10,4,1666063882,2022
37.2671,36.284,10,5,1665503326,2022
35.0454,31.9202,35.7,4.5,1661892151,2022
37.4826,37.0408,10,4.2,1660362646,2022
37.3656,37.0524,10,4,1658815860,2022
39.1434,37.7879,8.1,4.4,1656529475,2022
38.2131,38.7501,10,4,1649605784,2022
38.1132,38.6607,10,5.3,1649512935,2022
37.4062,35.1184,10,4.2,1648791245,2022
38.1754,38.4545,7.9,4.2,1647261499,2022
35.0634,31.8203,26.4,5.3,1643835828,2022
37.9265,32.098,10,4.5,1643621436,2022
39.1661,40.1204,10,4.7,1643590196,2022
35.0951,31.9265,10,4.9,1643342263,2022
39.0468,35.9025,10,5.1,1642462137,2022
35.2331,31.9468,21,6.6,1641863268,2022
38.1843,38.7856,7,4.8,1636708755,2021
37.8413,32.1727,10,5.1,1636393401,2021
38.9189,35.667,10,4,1628080696,2021
39.289,40.3319,10,4.1,1627475234,2021
37.1114,36.4369,10,4.6,1627246506,2021
37.064,36.4077,10,3.3,1627235849,2021
38.945,35.6174,7,4.1,1626680383,2021
38.9438,35.6909,10,4.1,1626679973,2021
38.4859,39.6011,10,4.1,1624938117,2021
39.1823,40.1726,7.3,5.4,1624645717,2021
37.5745,36.1435,10,4.2,1622614469,2021
35.0925,32.6833,51.5,4.4,1622442219,2021
39.1136,36.0539,10,4.3,1612735278,2021
39.0993,36.0949,10,4.5,1612224165,2021
35.0489,33.7163,62.9,5,1611239226,2021
38.3881,39.2457,10,4.2,1610875446,2021
38.2698,39.0769,5,4.4,1609683455,2021
38.4605,39.2345,9,5.5,1609051052,2020
38.4297,39.2157,10,4.1,1608980960,2020
36.5155,36.1143,10,3.4,1607541736,2020
37.0705,34.4652,57.2,4.1,1607218625,2020
36.0777,31.8657,80.9,5.3,1607172280,2020
35.223,36.9085,13.6,4.4,1606744025,2020
38.1793,38.6406,10,4.6,1606465676,2020
38.1232,34.0726,10,4.4,1600909286,2020
38.0192,34.0381,10,5.2,1600628887,2020
37.0319,35.8558,10,4.4,1600507806,2020
38.6773,38.0409,5,4.2,1600412045,2020
38.1581,38.6401,5,4.2,1599577577,2020
38.1737,38.676,10,4.2,1599568742,2020
38.0618,38.7769,10,4.7,1599561849,2020
38.2374,38.7315,10,4.5,1596566404,2020
38.2287,38.7559,10,4.3,1596555061,2020
38.2706,38.8458,10,4,1596546619,2020
38.194,38.7029,10,5.6,1596533857,2020
38.2224,38.7249,5.6,4,1595101977,2020
37.3676,36.3699,10,4,1595021543,2020
35.5678,40.594,10,4.2,1594938809,2020
38.1679,38.5587,10,4,1594247967,2020
38.1382,38.5409,10,4.1,1594241875,2020
35.6505,40.5391,10,4.3,1594076087,2020
37.4927,38.5867,10,4.2,1592383635,2020
38.2379,38.7587,10,5.2,1591380381,2020
38.3148,39.0299,10,4.2,1588512326,2020
38.417,39.173,10,4.3,1588236336,2020
35.8341,35.545,10,4.5,1586938718,2020
35.8628,35.525,10,4.6,1586936405,2020
35.8397,35.4944,10,4.2,1586903876,2020
35.9384,35.49,12.7,4.7,1585937742,2020
38.3915,39.0729,10,5.2,1584640413,2020
37.4505,36.121,10,4.2,1584268533,2020
38.1972,38.8481,5,4.1,1583160772,2020
38.3449,39.2773,10,4.5,1582979388,2020
38.2294,38.685,10,4.6,1582769326,2020
38.3489,38.7972,10,5,1582671817,2020
38.3417,39.1144,10,4.3,1581939735,2020
38.2572,38.6898,7,4,1581871233,2020
38.4874,39.1359,10,4.3,1580768384,2020
38.3727,39.2739,10,4.2,1580515431,2020
38.4961,39.3382,10,4.7,1580513571,2020
38.3425,39.156,5,4.3,1580141522,2020
38.2467,38.7957,10,4.4,1580005369,2020
38.3906,39.177,10,4.4,1579970820,2020
38.3483,39.1488,10,4.3,1579970642,2020
38.3615,39.1096,10,5.1,1579969811,2020
38.2019,38.7768,10,4.5,1579947299,2020
38.2892,38.8341,10,4.3,1579945175,2020
38.3409,39.2769,10,4.5,1579941604,2020
38.2318,38.7294,10,4.2,1579940475,2020
38.3075,39.1257,3.5,4.4,1579932454,2020
38.3425,39.1165,10,4,1579913839,2020
38.4605,39.1847,10,4.2,1579913332,2020
38.3109,39.1169,10,4.1,1579903296,2020
38.4257,39.1157,10,4.3,1579898706,2020
38.3608,39.0961,10,4.2,1579898533,2020
38.4237,39.1443,10,4.3,1579895380,2020
38.2696,38.7109,10,4.4,1579892588,2020
38.5045,39.205,10,4.3,1579892432,2020
